name,street,lat,lng,fb_id,image_url,phone,url,description,tags,listed
Mad Mex,370 Atwood St.,,,MadMexAtwood,http://profile.ak.fbcdn.net/hprofile-ak-snc4/373515_228954430508292_421576860_s.jpg,(412) 681-5656,,,food;restaurant;mexican;bar;alcohol;beer,1
Rite Aid,3700 Forbes Ave.,,,,https://fbcdn-sphotos-a.akamaihd.net/hphotos-ak-snc7/398844_422667321080344_115568331790246_1777939_534510547_n.jpg,(412) 681-1332,http://www.riteaid.com/,,shopping;health;medical;pharmacy;drug store,1
Pamela's,3703 Forbes Ave.,,,pamelasdiner,http://profile.ak.fbcdn.net/hprofile-ak-snc4/71158_124675784895_2481618_s.jpg,(412) 683-4066,http://www.pamelasdiner.com/index.cfm,,food;restaurant;diner;breakfast;coffee,1
Subway,3707 Forbes Ave.,,,corporate:Subway,,(412) 687-7550,www.subway.com,,food;restaurant;sandwiches,1
McDonald's,3708 Forbes Ave.,,,corporate:McDonalds,,(412) 687-3747,,,food;restaurant,1
Pittsburgh Popcorn Company,3710 Fifth Avenue,,,corporate:136828270599,,(412) 605-0444,http://pghpopcorn.com/,,food,1
Fedex Office,3710 Forbes Ave.,,,,FedexOffice.jpg,(412) 687-2752,http://fedex.com/us/office/,,printing;copying;office supplies,1
Rita's Italian Ice,3712 Fifth Avenue,,,412ritas,,(412) 687-9011,http://www.ritasice.com/,,food;ice cream,1
Qdoba's Mexican Restaurant,3712 Forbes Avenue,,,corporate:QdobaMexicanGrill,,(412) 802-7866,http://www.qdoba.com/,,food;restaurant;mexican;bar;alcohol;beer,1
Oakland Jewelry Exchange,3713 Forbes Ave.,,,,OaklandJewelry.jpg,(412) 682-6520,,,shopping;jewelry store;,1
Dollar Bank,3714 Fifth Ave.,,,corporate:106191133646,,(412) 621-3177,www.dollarbank.com,,finance;money;bank,1
Bruegger's Bagel Bakery,3714 Forbes Ave.,,,,BrueggersBagels.jpg,(412) 682-6360,www.breugger's.com,,store;bakery;food;sandwiches;breakfast,1
Vera Cruz,3715 Forbes Ave.,,,,VeraCruz.jpg,(412) 688-0766,,,food;restaurant;mexican,1
Joe Mama's Italian Deluxe,3716 Forbes Ave.,,,,http://www.joemamas.com/revised%20images/main_new.gif,(412) 621-7282,http://www.joemamas.com/,"Joseph Michael Mama was born into a first generation Italian-American immigrant family...way back when. He won't tell us the exact date because he's scared we'll throw him a party. Joe's kind of a grumpy guy. He's got plenty of other faults too, but we won't bore you with them. Actually, most things about Joe are pretty average except his weight, which is a little above average. To be perfectly honest with you, we only know of two things that Joe does really well. One is bowling, which we'll get back to later. The other is cooking the kind of food he grew up on - great big platters of authentic Home Style Italian-American Grub. Honestly, nobody cooks Italian like Joe Mama! Joe learned everything he knows from his Mom and Nonna (That's Italian for Grandma). He says he can't remember a day growing up when those two weren't in the kitchen with a big pot of something good simmering on the stove. Their modest home was always filled with extended family and friends. There was always plenty of heated debate (yelling) and even more laughter. Most importantly, there was the food. We're talking huge platters of delicious Made-From-Scratch Italian Food. (Not to mention, endless jugs of Homemade Wine.) Joe always tells us, ""we were pretty close to poor, but we ate like kings."" And, that's why he always gives you an honest meal for the buck. You'll think Joe's crazy when you see the food. Back to the bowling...Joe's a real champ. If you don't believe us, check out all the trophies. They're around here somewhere. Joe's the captain of his team, The Bombers. He never misses league night. (Although, sometimes we miss Joe the morning after league night.) The Bombers team slogan is, ""We're a drinkin' team with a bowling problem."" That pretty much sums it up for you. In the Army, Joe was a Mechanic Crew Sergeant on a B-47 Bomber (Hence, the name for his team.) When he got out, he took over this place with the help of one of those low interest VA loans. That was a long time ago and the place was old then. Back to the bowling...Joe's a real champ. If you don't believe us, check out all the trophies. They're around here somewhere. Joe's the captain of his team, The Bombers. He never misses league night. (Although, sometimes we miss Joe the morning after league night.) The Bombers team slogan is, ""We're a drinkin' team with a bowling problem."" That pretty much sums it up for you. In the Army, Joe was a Mechanic Crew Sergeant on a B-47 Bomber (Hence, the name for his team.) When he got out, he took over this place with the help of one of those low interest VA loans. That was a long time ago and the place was old then. Other than a couple of expansions over the years, not much about this joint has changed. Believe us, we know it's not much to look at. (Joe always says, ""the food's good looking enough!"") On the up side, there's no chance of really messing anything up. So relax, listen to some of Joe's tunes, have one of our Famous Tall Cocktails, and most importantly, eat a big platter of some real Home Style Grub. If you get some sauce on your shirt, don't worry... you'll blend right in.",food;bar;alcohol;restaurant;italian;beer,1
Citizens Bank,3718 Fifth Ave.,,,,https://fbcdn-sphotos-a.akamaihd.net/hphotos-ak-ash3/538916_416801405003809_131677553516197_1861510_2054373364_n.jpg,(412) 683-1111,www.citizensbank.com,,finance;money;atm;bank,1
Gidas Flowers,3719 Forbes Ave.,,,117969668996,http://profile.ak.fbcdn.net/hprofile-ak-snc4/71175_117969668996_3886566_s.jpg,(412) 621-1300,https://www.gidasflowers.com/,,shopping;store;florist;flowers,1
Sestili Nursery,3721 Swinburne St.,,,,http://www.sestilinurseryinc.com/100_2052-3.jpg,(412) 681-1200,http://www.sestilinurseryinc.com/,"Sestili Nursery, founded in 1947, is a complete landscape construction and landscape supply center, serving the Pittsburgh area. Our mission is: - to ensure quality service to our customers, and offer merchandise and designs which sustain and enhance the natural integrity of their homes and businesses. - to support Pittsburgh area neighborhoods and businesses in creating gardens and landscapes of beauty and functionality. - to provide a safe, fair and healthy environment for our employees and customers while achieving an equitable profit. - to maintain the ideals of good business as we strive to continue our goal of professional and excellent service now and in the future.",nursery;plants;landscaping,1
Taiwan Cafe,3725 Forbes Ave.,,,,TaiwanCafe.jpg,(412) 682-3396,,,food;restaurant;asian,1
General Nutrition Center,3725 Forbes Ave.,,,,https://fbcdn-sphotos-a.akamaihd.net/hphotos-ak-ash3/539714_10150702358652418_92831927417_9234371_126132594_n.jpg,(412) 682-5008,www.gnc.com,,health;nutrition;store,1
Bellisario's Auto Body,3750 Childs St.,,,,,(412) 687-9258,,,car repair,1
Rue 21,3800 Forbes Ave.,,,corporate:rue21,,(412) 681-1266,www.rue21.com,,shopping;clothing store,1
Panera Bread,3800 Forbes Ave.,,,corporate:panerabread,,(412) 683-3727,http://www.panerabread.com/,,food;café;restaurant;coffee,1
Touch of Gold and Silver,3800 Forbes Ave.,,,191711817521372,http://profile.ak.fbcdn.net/hprofile-ak-ash3/161897_191711817521372_62112634_s.jpg,(412) 687-3867,http://www.touchofgoldandsilverjewelrystore.com/,,shopping;store;jewelry,1
Gus Miller's News Stand,3801 Forbes Ave.,,,,GusMiller.jpg,(412) 683-5244,,,shopping;convenience store,1
Primanti Brothers,3803 Forbes Ave.,,,PrimantiBrothers,http://profile.ak.fbcdn.net/hprofile-ak-snc4/41806_15349859252_114660431_s.jpg,(412) 621-4444,http://www.primantibros.com/,,food;bar;alcohol;restaurant;beer;sandwiches,1
New Light Baptist Church,3803 Frazier St.,,,,,(412) 621-0640,,,religious;place of worship;church,1
New Balance Pittsburgh,3810 Forbes Avenue,,,NewBalancePgh,http://profile.ak.fbcdn.net/hprofile-ak-snc4/158069_118061484906426_1352000626_s.jpg,(412) 697-1333,http://stores.newbalance.com/pittsburgh/default.aspx?s3=ppc,,shopping;store;shoes;athletic,1
Original Hot Dog Shop,3901 Forbes Ave.,,,143319765710644,https://fbcdn-sphotos-a.akamaihd.net/hphotos-ak-ash2/61973_143319949043959_143319765710644_207950_4838092_n.jpg,(412) 621-7388,,,food;restaurant;bar;alcohol;pizza;beer,1
Dunkin Donuts,3909 Forbes Avenue,,,,https://fbcdn-sphotos-a.akamaihd.net/hphotos-ak-ash3/559960_10150892450093238_6979393237_12916474_756894995_n.jpg,(412) 687-1308,www.dunkindonuts.com,,food;restaurant;coffee,1
Hemingway's Cafe,3911 Forbes Ave.,,,43656360946,http://profile.ak.fbcdn.net/hprofile-ak-snc4/41569_43656360946_6332753_s.jpg,(412) 621-4100,http://www.hemingways-cafe.com/,,food;restaurant;bar;alcohol;drink;beer,1
Pitt Shop,3939 Forbes Ave.,,,thepittshop,,(412) 648-2606,http://store.thepittshop.com/,,shopping;clothing store;university,1
The UPS Store,3945 Forbes Ave.,,,130355633663385,,(412) 624-0552,http://www.theupsstore.com/Pages/index.aspx,,post office;mail;copying;printing,1
7-Eleven,3953 Forbes Ave.,,,,https://fbcdn-sphotos-a.akamaihd.net/hphotos-ak-ash3/557300_10150763242103255_13457463254_11187065_463890121_n.jpg,(412) 682-6108,http://www.7-eleven.com/,,shopping;drink;cigarettes;lottery;convenience store;food,1
LuLu's Noodle Shop,400 S. Craig St.,,,188580067517,http://profile.ak.fbcdn.net/hprofile-ak-snc4/41799_188580067517_3798202_s.jpg,(412) 687-7777,,,food;restaurant;asian;chinese,1
Campus Deli,400 Semple Street,,,10978218110,http://profile.ak.fbcdn.net/hprofile-ak-snc4/41798_10978218110_2267_s.jpg,(412) 683-3200,,,food;deli;sandwiches,1
University Book Center,4000 Fifth Ave.,,,thebookcenter,http://profile.ak.fbcdn.net/hprofile-ak-snc4/174862_182302828453071_852360100_s.jpg,(412) 648-1455,http://www.pitt.edu/~bookctr/,,education;university;books,1
Bellefield Presbyterian Church,4001 Fifth Ave.,,,15698372465,http://profile.ak.fbcdn.net/hprofile-ak-snc4/50254_15698372465_786754_s.jpg,(412) 687-3222,http://www.bellefield.org/,,religious;place of worship;church,1
Sphinx Cafe,401 Atwood St.,,,120300144652011,http://profile.ak.fbcdn.net/hprofile-ak-snc4/276489_120300144652011_5448087_s.jpg,(412) 621-1153,,,food;restaurant;coffee;hookah,1
PNC Bank,4022 Fifth Ave.,,,corporate:pncbank,,(412) 621-0300,www.pnc.com,,finance;money;atm;bank,1
Bootlegger's,403 Semple St.,,,,https://fbcdn-profile-a.akamaihd.net/hprofile-ak-snc4/48898_100000496117913_3302_n.jpg,(412) 682-3060,,,food;bar;alcohol;beer,1
Ali Baba,404 S. Craig St.,,,,http://www.alibabapittsburgh.com/images/stories/big%20tiles.png,(412) 682-2829,,"Our Ali Baba is called by Pittsburgh magazine, “the best Middle Eastern Restaurant in Pittsburgh”. In 1972, three struggling, native Syrian graduate students opened the doors to a modest ethnic restaurant. Because of their perseverance and dedication to satisfying customers, Ali Baba prospered. In 1973 staff was added which included two chefs who continue to prepare authentic dishes in our kitchen today. Extensive remodeling took place in 1975 and 1982, which changed Ali Baba’s décor into what is seen presently. Ivan Makhoul, one of the original owners, remains committed to his formula of success: providing not only fresh authentic dishes, but also the best possible foods and service to his guests.",food;restaurant;Middle Eastern,1
Mellinger Beer Distributor,404 Semple St.,,,Mellingers,http://profile.ak.fbcdn.net/hprofile-ak-ash2/373031_153726191337687_701008727_s.jpg,(412) 682-4396,,,beer;alchohol,1
Larry & Carol's Pizza,410 Semple St..,,,178050436883,http://profile.ak.fbcdn.net/hprofile-ak-snc4/41569_178050436883_7021437_s.jpg,(412) 687-1189,http://www.larryncarolspizza.com/,,food;pizza,1
Islamic Center of Pittsburgh,4100 Bigelow Blvd.,,,,http://www.icp-pgh.org/css/images/slider_image_04.jpg,(412) 682-5555,http://www.icp-pgh.org/,"The Islamic Center of Pittsburgh is the area's largest Mosque, providing services to Muslim and Non-Muslim communities in Western Pennsylvania, Eastern Ohio, and Northern West Virginia. We were established in 1992, located at 4100 Bigelow Blvd, in Oakland. Our phone number is (412) 682 5555; fax is (412) 682 3111. ICP office hours are between 10 AM and 5 PM. Mosque is open for all prayer times.",religious;place of worship;mosque,1
Top Notch Art Center,411 S. Craig St.,,,134449299940422,,(412) 683-4444,http://www.tnartsupply.com/,,shopping;store;art,1
Pittsburgh Athletic Association,4125 Fifth Ave.,,,103110366395904,,(412) 621-2400,http://www.paaclub.com/Club/Scripts/Home/home.asp,,university;club;athletic,1
Union Grill,413 S. Craig St.,,,107604845966237,http://profile.ak.fbcdn.net/hprofile-ak-snc4/50436_107604845966237_221_s.jpg,(412) 681-8620,,,food;restaurant;sandwiches,1
Vera Cruz Mexican Grocery,413 Semple St.,,,,VeraCruzGrocery.jpg,(412) 621-7405,,,food;grocery;convenience store;mexican,1
Korea Garden Restaurant,414 Semple St.,,,,KoreaGarden.jpg,(412)681-6460,,Korea Garden has been the best Korean restaurant at Pittsburgh over than 30 years. We provide delicious Korean and Korean-style Chinese cuisine with great taste.,food;restaurant;asian;korean,1
Soldiers & Sailors Memorial Hall,4141 Fifth Ave.,,,SoldiersandSailors,http://profile.ak.fbcdn.net/hprofile-ak-snc4/372831_79888000570_1362124222_s.jpg,(412) 621-4253,http://www.soldiersandsailorshall.org/,,museum;art;history,1
Subway,418 S. Craig St.,,,corporate:Subway,,(412) 687-6728,www.subway.com,,food;restaurant;sandwiches,1
Caliban Book Shop,416 S. Craig St.,,,126412670722686,http://profile.ak.fbcdn.net/hprofile-ak-snc4/158047_126412670722686_1136040471_s.jpg,(412) 681-9111,www.calibanbooks.com,,shopping;book store;reading,1
St. Nicholas Greek Orthodox Cathedral,419 S. Dithridge St.,,,,http://www.stnickspgh.org/festival/joy01.jpg,(412) 682-3866,,"St. Nicholas can trace its membership back to the turn of the century, when many of the first Greek immigrants made their way to Pittsburgh. Among them were men who were enlisted by the city's early industrialists to paint the buildings and smokestacks of the iron and steel mills. The present church building was purchased in 1923. It formerly housed a Congregational (Protestant) congregation.",religious;place of worship;church;food,1
20th Century Club,4201 Bigelow Blvd.,,,,http://www.thetwentiethcenturyclub.com/headerindex.jpg,(412) 621-2353,http://www.thetwentiethcenturyclub.com/,"Welcome to The Twentieth Century Club, a private women’s club founded in 1894, whose elegant facilities are available for both member and non-member functions. The Club’s experienced and attentive staff, fulltime head chef and kitchen staff will provide you with unparalleled meeting and dining experiences. The Club has a wide choice of rooms appointed with beautiful silver and linens for a lunch as small as two to a function serving 750. The Club is known in particular for its Art Deco ballroom, considered to be one of the finest examples of the style remaining in the United States. The ballroom and the Club’s main dining room are the perfect settings for weddings and other special events. The Twentieth Century Club is located in the heart of Oakland at 4201 Bigelow Boulevard and is easily accessible from all parts of the city. The building itself is a 4-story 16th Century Italian Renaissance Revival whose main entrance with its circular drive graciously welcomes you.",Weddings;club;food,1
Burgers & Rice Bowl,424 Semple St..,,,,BurgersRiceBowl.jpg,(412) 953-3999,,,food;restaurant;asian;chinese,1
Carnegie Library of Pittsburgh,4400 Forbes Ave.,,,CarnegieLibraryOfPittsburgh,http://profile.ak.fbcdn.net/hprofile-ak-snc4/157989_73877691965_505892_s.jpg,(412) 622-3114,http://www.clpgh.org/,,reading;books;library,1
Carnegie Museum of Art,4400 Forbes Ave.,,,CarnegieMuseumofArt,http://profile.ak.fbcdn.net/hprofile-ak-snc4/188149_38014611787_876752_s.jpg,(412) 622-3131,http://web.cmoa.org/,,museum;art,1
Carnegie Music Hall,4400 Forbes Ave.,,,,https://s-external.ak.fbcdn.net/safe_image.php?d=AQAPkY7kpS5QgdmJ&w=180&h=540&url=http%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2Fc%2Fca%2FCarnegie_Music_Hall_Pittsburgh.JPG%2F720px-Carnegie_Music_Hall_Pittsburgh.JPG&fallback=hub_likes&prefix=d,(412) 622-3131,http://www.carnegiemuseums.org/interior.php?pageID=30,,music;lectures,1
Carnegie Museum of Natural History,4400 Forbes Ave.,,,31539090679,http://profile.ak.fbcdn.net/hprofile-ak-snc4/276402_31539090679_705447606_s.jpg,(412) 622-3131,http://www.carnegiemnh.org/,,musuem;natural history;architecture;dinosaurs,1
Pittsburgh Chamber Music Society,4400 Forbes Ave.,,,85378651541,http://profile.ak.fbcdn.net/hprofile-ak-snc4/188025_85378651541_2906254_s.jpg,(412) 624-4129,http://www.pittsburghchambermusic.org/newSite/,,Music,1
Kevin's Deli,4415 Fifth Ave.,,,,http://kevinsdeli.com/images/Frontimage2.jpg,(412) 621-6368,http://kevinsdeli.com/index.htm,,food;deli;sandwiches,1
New China Inn,4609 Centre Ave.,,,194045876982,http://profile.ak.fbcdn.net/hprofile-ak-snc4/50354_194045876982_3911911_s.jpg,(412) 621-6199,,,food;restaurant;chinese;asian,1
Panther Hollow Inn,4611 Forbes Avenue,,,52051703278,PantherHollowInn.jpg,(412) 682-9999,,,food;restaurand;pizza;bar;alcohol;drink;beer;sandwiches;,1
First Niagara Bank,4612 Forbes Ave.,,,,https://www.fnfg.com/assets/0/109/135/bf18a098-662f-49f0-b0c0-3c2014ca20a3.gif,(412) 681-4200,www.fnfg.com,,finance;money;atm;bank,1
Townsend Booksellers,4612 Henry St.,,,,http://www.townsendbooksellers.com/house2.jpg,(412) 682-8030,http://www.townsendbooksellers.com/,"Fine used, rare, out-of-print, scholarly and unusual books in all fields bought & sold. Over 30,000 volumes. We are an open shop in the Pittsburgh neighborhood of Oakland, the cultural center of Pittsburgh, near the University of Pittsburgh, Carnegie Mellon University and the Carnegie Museum and Library.",shopping;store;books;reading,1
Centre Cleaners,4615 Centre Ave.,,,,CentreDryCleaners.jpg,(412) 683-6466,,,dry cleaning;tailor,1
Lou's Auto,4619 Centre Ave.,,,,,(412) 682-6211,,,car repair,1
Auto Palace,4627 Baum Blvd.,,,AutoPalacePorsche,http://profile.ak.fbcdn.net/hprofile-ak-snc4/261166_118139271700_1293831751_s.jpg,(412) 687-4000,http://www.auto-palace.com/ou/pittsburgh-porsche/,,car dealer,1
Mitchell's Tavern/ Charlie's,4632 Centre Ave.,,,,Mitchells.jpg,(412) 682-9530,,,food;restaurant;bar,1
Centre Ave. News,4637 Centre Ave.,,,,D&Lconvenience.jpg,(412) 687-6397,,,convenience store,1
A-1 Self Storage,4643 Baum Blvd.,,,,,(412) 621-5947,http://www.a1storage.com/,,storage,1
Seoul Mart,4701 Fifth Ave.,,,,SeoulMart.jpg,(412) 683-8767,,,Convenience Store;Asian;Korean,1
Salim's Middle Eastern Store & Deli,4705 Centre Ave.,,,98788647369,http://profile.ak.fbcdn.net/hprofile-ak-snc4/50492_98788647369_3737268_s.jpg,(412) 621-8110,,,food;restaurant;Middle Eastern,1
Central Catholic High School,4720 Fifth Ave.,,,130802130287924,http://profile.ak.fbcdn.net/hprofile-ak-snc4/50496_130802130287924_7514_s.jpg,(412) 621-8189,http://www.centralcatholichs.com/,,school;education,1
Pittsburgh Filmmakers,477 Melwood Ave.,,,pghfilmmakers,http://profile.ak.fbcdn.net/hprofile-ak-snc4/41803_140954329326030_389787368_s.jpg,(412) 681-5449,http://pfm.pittsburgharts.org/,,Film;education;movie theater,1
Stuckert's Towing,4801 Centre Avenue,,,,,(412) 621-6876,,,car;towing,1
Rodef Shalom Congregation,4905 Fifth Avenue,,,155098914506223,http://profile.ak.fbcdn.net/hprofile-ak-snc4/174604_155098914506223_168363_s.jpg,(412) 621-6566,http://rodefshalom.org/,,religious;history;art;synagogue;place of worship,1
Carnegie Mellon University,5000 Forbes Ave.,,,carnegiemellonu,http://profile.ak.fbcdn.net/hprofile-ak-snc4/41803_7133766387_694144433_s.jpg,(412) 268-2000,www.cmu.edu,,school;education;university,1
First Trinity Evangelical Lutheran,531 N. Neville St.,,,104930072884104,,(412) 683-4121,,,religious;place of worship;church,1
Wines & Spirits,5430 Centre Ave.,,,corporate:FineWineAndGoodSpirits,,(412) 688-1938,www.pawinesandspirits.com,,liquor;wine,1
CVS Pharmacy,4725 Centre Ave.,,,,https://fbcdn-sphotos-a.akamaihd.net/hphotos-ak-ash3/522454_10150696036113116_92979593115_9275214_245391665_n.jpg,(412) 682-1088,www.cvs.com,,shopping;drug store;health;medical;pharmacy,1
Pep Boys,936 S. Millvale Avenue,,,285534371468276,,(412) 578-0467,www.pepboys.com,,store;car;car repair,1
Frick Fine Arts Building,Bigelow & Clemente,,,109424739075604,,(412) 648-2410,http://www.tour.pitt.edu/tour-060.html,,education;university,1
Nationality Classrooms,Cathedral Of Learning,,,103800759658071,,(412) 624-6000,http://www.pitt.edu/~natrooms/,,school;education,1
Rangos Research Center,Fifth & McKee,,,,,(412) 692-5325,,,education;university,1
St. Paul Cathedral,Fifth at Craig,,,214787775231464,,(412) 621-4951,,,religious;place of worship;church,1
PNC Bank,Fifth Ave. at Craig St.,,,corporate:pncbank,,(412) 683-7161,www.pnc.com,,finance;money;atm;bank,1
Stephen Foster Memorial,Forbes & Bigelow,,,112125882137098,,(412) 624-4100,http://www.tour.pitt.edu/tour-235.html,,university;theater,1
Magee Womens Hospital,Forbes at Halket,,,,,(412) 641-1000,www.magee.edu,,health;medical;doctor,1
Razzy Fresh,Forbes at Meyran,,,117733734917057,http://profile.ak.fbcdn.net/hprofile-ak-snc4/23303_117733734917057_1263_s.jpg,412-586-7924,http://www.razzyfresh.com/,,food;ice cream,1
Phipps Conservatory & Botanical Gardens,One Schenley Drive,,,phippsconservatory,http://profile.ak.fbcdn.net/hprofile-ak-ash3/161897_104851729258_251383402_s.jpg,(412) 622-6914,http://phipps.conservatory.org/,,recreation;park;garden,1
Heinz Memorial Chapel,Univ. of Pittsburgh,,,106287052735114,,(412) 624-4157,http://www.heinzchapel.pitt.edu/,,religious;place of worship;church,1
VA Pgh. Healthcare System,University Dr.,,,VAPHS,,(412) 688-6000,http://www.pittsburgh.va.gov/,,health;hospital,1
3 Guys Optical Center,3701 Forbes Ave,,,161961833858809,http://profile.ak.fbcdn.net/hprofile-ak-snc4/174874_161961833858809_3570943_s.jpg,(412) 682 1499,http://3guysoptical.com/,,shopping;store;health,1
Iron City Bikes,331 South Bouquet Street,,,,https://twimg0-a.akamaihd.net/profile_images/555492225/Picture_2.png,,,No attitude. Just Bikes! Stop by and say hi. We're in Oakland.,bike store,1
Orient Express,4609 Forbes Ave,,,,OrientExpress.jpg,,,,chinese;food;asian;restaurant,1
Hillel Jewish University Center of Pittsburgh,4607 Forbes Avenue,,,hilleljuc,https://fbcdn-sphotos-a.akamaihd.net/hphotos-ak-snc7/4946_91029464678_91028384678_1795537_7416790_n.jpg,,,,Jewish;university,1
Starbucks,417 South Craig Street,,,148908658467476,,,,,food;coffee,1
Maximum Flavor,415 South Craig St.,,,282017818396,,,,,food;pizza;sandwiches,1
Yuva India,412 South Craig Street,,,,YuvaIndia.jpg,,,,food;restaurant;Indian,1
Culture Shop,406 South Craig Street,,,,CultureShop.jpg,,,,store;shopping,1
Phantom of the Attic,411 South Craig Street,,,270567764926,,,,,comics;reading,1
Oakland Fashion Optical,311 S. Craig St.,,,388367546182,,,,,glasses;store,1
Little Asia,303 South Craig Street,,,,LittleAsia.jpg,,,,chinese;food;asian;restaurant,1
Snowlion Imports,201 South Craig Street,,,275151156848,,,,,store;asian;shoppin,1
Family House,514 North Neville Street,,,corporate:306452702240,,,,,hospital;lodging,1
Family House,123 University Pl,,,corporate:306452702240,,,,,hospital;lodging,1
Shiraz Kabob and Pizza,4709 Centre Avenue,,,,ShirazKabob.jpg,,,,food;restaurant;pizza;hookah;middle eastern,1
Pizza Bellagio,4635 Centre Avenue,,,113585148675130,,,,,pizza;food,1
Black Cat Tattoos,406 South Craig Street,,,157345207694253,,,,,Tattoo;piercing,1
Subway,4613 Centre Avenue,,,corporate:Subway,,,,,food;restaurant;sandwiches,1
Pizza Pronto,4611 Centre Avenue,,,198385751071,,,,,pizza;food,1
Bombay Food Market,4605 Centre Avenue,,,,BombayFoodMart.jpg,,,,indian;food,1
Sultan Bey Global Market,4601 Centre Avenue,,,,SultanBey.jpg,,,,convenience store,1
Logan's Pub,301 North Craig Street,,,,LogansPub.jpg,,,,bar;drink;alcohol;beer,1
Unique Impressions Hair Salon,306 North Craig Street,,,,UniqueImpressionsHairSalon.jpg,,,,hair;beauty;salon,1
Luna Bar and Grill,304 North Craig Street,,,253266114749387,,,,,bar;drink;alcohol;beer,1
Riviera Jewelers,4523 Centre Avenue,,,,RivieraJewelers.jpg,,,,jewelry store,1
K & T's Fish and Chicken,4521 Centre Avenue,,,204670580389,,,,,food;restaurant,1
Tamarind,257 North Craig Street,,,,Tamarind.jpg,,,A bright South Indian Restaurant with a cozy atmosphere and hot food served by the cheery staff.,indian;food;restaurant,1
Legume,214 North Craig Street,,,42547425833,,,,,food;restaurant,1
Food for Thought,194 North Craig Street,,,332191845288,,,,,food;restaurant;café;deli;catering,1
Porch,221 Schenley Drive,,,ThePorchAtSchenley,,,,,food;restaurant;pizza;sandwiches,1
T-Mobile,3807 Forbes Avenue,,,,https://fbcdn-sphotos-a.akamaihd.net/hphotos-ak-prn1/552476_10150690654473895_108726828894_9045703_931076274_n.jpg,,,,cell phone;store,1
Noodles & Company,3805 Forbes Avenue,,,corporate:noodlesandcompany,,,,,food;asian;restaurant,1
The Tanning Pitt,128 Oakland Ave.,,,101312886615571,,,,,beauty;tanning,1
Jester's Court Tattoos,115 Oakland Avenue,,,,http://www.jesterscourttattoos.com/locations/oakland.jpg,,,,Tattoo;piercing,1
School 2 Career,3360 Forbes Avenue,,,school2career,,,,,Education,1
Hurley Associates,3508 Fifth Avenue,,,,HurleyAssociates.jpg,,,"Since 1988, Hurley Associates has provided the management, coaching and professional services to assist clients in choosing strategies that offer a comfortable today and a secure tomorrow. Our specialists examine each aspect of a client's financial life and then design and execute a plan to satisfy both short term and long term objectives. This is done with the client in collaboration to insure that the plan not only meets the client's financial objectives, but is also in alignment with the client's personal philosophies and values. Hurley Associates has built its practice on the integrity of its practitioners and the trust and confidence of its clients. Contact us today to see what we can do for you.",Insurance,1
First National Bank,3520 Forbes Avenue,,,,FirstNationalBank.jpg,,,,finance;money;bank,1
Fez Grill,416 Semple Street,,,fezgrill,,,,,food;restaurant;greek;mediterranean,1
Uncle Jimmy's Bar,418 Semple Street,,,unclejimmysbar,,,,,food;bar;alcohol;beer,1
Corner Store,3459 Ward Street ,,,,CornerStore.jpg,,,,store;food;convenience store,1
Dana's Dunkin' Duds Laundry,3510 Cable Place ,,,,DanasDunkinDuds.jpg,,,,laundromat,1
Oakland Mini Market,449 Atwood Street,,,,OaklandMiniMarket.jpg,,,,convenience store;food,1
Las Palmas,326 Atwood Street,,,,LasPalmas.jpg,,,,food;restaurant;mexican,1
It's Dogg'n It,260 Atwood Street,,,,ItsDogginIt.jpg,,,,convenience store;beer,1
Razzy Fresh,300 South Craig Street,,,corporate:117733734917057,,,,,food;ice cream,1
Nebby Beauty Care,120 Meyran Avenue,,,241740689219898,,,,,salon;beauty,1
Underground Printing,117 Meyran Avenue,,,ugppitt,,,,,screen printing,1
S & T Nails,114 Meyran Avenue,,,,http://www.stnaildesign.com/photos/s%20and%20t%20nail%20design%20front%20picture.jpg,,,"Located in the heart of Oakland, we are a family-owned Nail Studio specializing in creative nail designs as well as nail services. Our services include high quality acrylics and solar nails, pedicures, manicures, nail health, quality products, sanitation, and exemplary client care. Please stop by and enjoy our services. Walk-ins are always welcome!",nails;beauty,1
Game Stop,3608 Forbes Avenue,,,,https://fbcdn-sphotos-a.akamaihd.net/hphotos-ak-prn1/15314_115571218462813_110455108974424_215158_5747305_n.jpg,,,,store;games,1
Red Oak Café,3610 Forbes Avenue,,,redoakcafe,,,,,food;restaurant;café;coffee;sandwiches,1
Garage Door Saloon,223 Atwood Street,,,,GarageDoorSaloon.jpg,,,,bar;drink;alcohol;beer,1
Cathedral of Learning,4200 Fifth Avenue,,,103800759658071,,,,,university;education,1
Fitzgerald Field House,3524 Allequippa Street,,,138570156170859,,,,,sports;university,1
Petersen Events Center,3719 Terrace Street,,,108576002499545,,,,,sports;university,1
Alumni House,,40.445582,-79.953982,,,,,,,0
Baker Hall,,40.45929098,-79.96029854,,,,,,,0
Porter Hall,,40.44152547,-79.94630814,,,,,,,0
Bramer House,,40.445969,-79.941065,,,,,,,0
Collaborative Innovation Center,,40.443838,-79.946319,,,,,,,0
College of Fine Arts,,40.441624,-79.942966,,,,,,,0
Cyert Hall,,40.44423632,-79.94386196,,,,,,,0
Doherty Hall,,40.44273393,-79.94472027,,,,,,,0
Facilities Managmenet Services Building,,40.44322384,-79.94626522,,,,,,,0
